OPE ID,School,academic_year,State,Zip Code,School Type,dl_sub_rec,dl_sub_#loans_disbursed,dl_sub_$loans_disbursed,dl_unsub_underg_rec,dl_unsub_underg#loans_disbursed,dl_unsub_underg$loans_disbursed,dl_unsub_grad_rec,dl_unsub_grad#loans_disbursed,dl_unsub_grad$loans_disbursed,dl_parentplus_rec,dl_parentplus#loans_disbursed,dl_parentplus$loans_disbursed,dl_gradplus_rec,dl_gradplus#loans_disbursed,dl_gradplus$loans_disbursed
697500,LINCOLN UNIVERSITY,2020-2021,CA,946122801,Private-Nonprofit,77,150,235105,72,139,226593,8,13,64400,2,7,19885,-,-, -
697700,GREAT BASIN COLLEGE,2020-2021,NV,898013348,Public,186,344,606443,209,394,989020,-,-, -,2,4,8000,-,-, -
698200,NAUGATUCK VALLEY COMMUNITY COLLEGE,2020-2021,CT,067083089,Public,63,123,166114,95,191,348893,-,-, -,-,-, -,-,-, -
701200,SAMUEL MERRITT UNIVERSITY,2020-2021,CA,946093108,Private-Nonprofit,641,1021,3314951,637,1030,4222632,1091,2573,29467212,28,48,971115,884,2348,31507503
702200,CUNY LEHMAN COLLEGE,2020-2021,NY,104681589,Public,1636,3896,6357140,1063,2512,4292411,829,1906,12419169,7,16,52057,19,48,190523
702600,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,2020-2021,NY,100296500,Private-Nonprofit,-,-, -,-,-, -,424,1118,12305029,-,-, -,212,452,5992625
703200,MIDAMERICA NAZARENE UNIVERSITY,2020-2021,KS,660621899,Private-Nonprofit,718,1412,3144363,709,1405,3021637,276,626,3897244,198,377,3492398,12,28,172627
703500,KETTERING COLLEGE,2020-2021,OH,454291299,Private-Nonprofit,294,726,1489496,309,760,1771646,209,496,4937197,50,128,1052382,160,369,3169224
704700,LOS ANGELES SOUTHWEST COLLEGE,2020-2021,CA,900474810,Public,54,105,196025,67,131,357511,-,-, -,-,-, -,-,-, -
705000,BELLUS ACADEMY,2020-2021,CA,919111773,Proprietary,286,541,792711,302,613,1086502,-,-, -,30,62,155883,-,-, -
708500,MOUNT VERNON NAZARENE UNIVERSITY,2020-2021,OH,430509500,Private-Nonprofit,871,1541,3391506,993,1762,3726375,191,316,2647609,185,339,2171018,1,2,15787
709600,COLLEGE OF THE MAINLAND,2020-2021,TX,775730000,Public,90,259,218683,95,277,288941,-,-, -,-,-, -,-,-, -
710800,UNIVERSITY OF PUERTO RICO - RIO PIEDRAS CAMPUS,2020-2021,PR,009313300,Public,396,594,1673958,59,90,161326,947,1699,12161588,2,2,31947,24,40,222580
710900,SUNY COLLEGE AT OLD WESTBURY,2020-2021,NY,115680210,Public,952,1692,3640021,738,1359,3122673,141,277,1697084,51,91,389600,-,-, -
711000,DELAWARE COUNTY COMMUNITY COLLEGE,2020-2021,PA,190631094,Public,1998,3847,6180352,2050,4112,8211028,-,-, -,45,88,327849,-,-, -
711100,NORTH COUNTRY COMMUNITY COLLEGE,2020-2021,NY,129832046,Public,336,607,939182,312,571,1301782,-,-, -,9,16,29676,-,-, -
711300,ARIZONA CHRISTIAN UNIVERSITY,2020-2021,AZ,853067097,Private-Nonprofit,523,950,1940079,592,1095,2056450,-,-, -,160,310,2655392,-,-, -
711500,MOORPARK COLLEGE,2020-2021,CA,930211695,Public,105,206,385558,102,196,480628,-,-, -,-,-, -,-,-, -
711800,PARKLAND COLLEGE,2020-2021,IL,618211899,Public,955,1728,2658556,502,1061,1473940,-,-, -,48,93,525759,-,-, -
712000,DES MOINES AREA COMMUNITY COLLEGE,2020-2021,IA,500213993,Public,2865,5208,7754593,3056,5681,11116132,-,-, -,55,116,404654,-,-, -
712100,FAITH BAPTIST BIBLE COLLEGE & THEOLOGICAL SEMINARY,2020-2021,IA,500232152,Private-Nonprofit,80,152,288490,70,132,212228,1,2,12000,7,14,61160,-,-, -
713000,NEWBERRY SCHOOL OF BEAUTY,2020-2021,CA,913447404,Proprietary,17,21,32150,16,21,22559,-,-, -,-,-, -,-,-, -
714200,LYLE'S COLLEGE OF BEAUTY,2020-2021,CA,937103948,Proprietary,69,115,173811,54,89,146272,-,-, -,-,-, -,-,-, -
716400,BRYAN UNIVERSITY,2020-2021,AZ,852811495,Proprietary,1128,2430,4002191,1421,3307,8454917,-,-, -,34,78,243820,-,-, -
717000,LINCOLN LAND COMMUNITY COLLEGE,2020-2021,IL,627949256,Public,983,1894,2902307,933,1793,3355969,-,-, -,8,15,49083,-,-, -
717100,KIRTLAND COMMUNITY COLLEGE,2020-2021,MI,497389704,Public,270,504,865310,295,559,1354066,-,-, -,2,3,6667,-,-, -
717800,WESTERN SEMINARY,2020-2021,OR,972153367,Private-Nonprofit,-,-, -,12,22,66960,153,346,1618516,-,-, -,-,-, -
